iter	Passed	Remaining
0	195	97360
1	227	56553
2	271	45003
3	291	36096
4	348	34504
5	402	33127
6	429	30262
7	486	29906
8	504	27541
9	568	27837
10	594	26437
11	650	26470
12	678	25405
13	743	25821
14	770	24910
15	802	24283
16	827	23514
17	869	23288
18	919	23279
19	946	22712
20	984	22445
21	1035	22506
22	1061	22014
23	1085	21521
24	1102	20946
25	1132	20638
26	1187	20806
27	1213	20452
28	1266	20570
29	1309	20522
30	1360	20581
31	1413	20665
32	1468	20779
33	1520	20842
34	1574	20919
35	1613	20797
36	1639	20513
37	1700	20676
38	1745	20633
39	1770	20362
40	1824	20428
41	1867	20361
42	1907	20273
43	1941	20122
44	1995	20180
45	2038	20119
46	2063	19891
47	2113	19902
48	2152	19810
49	2197	19777
50	2228	19622
51	2261	19483
52	2309	19474
53	2367	19551
54	2410	19502
55	2459	19500
56	2494	19384
57	2557	19489
58	2605	19473
59	2657	19488
60	2700	19433
61	2751	19436
62	2803	19447
63	2853	19438
64	2904	19437
65	2970	19532
66	3006	19429
67	3062	19454
68	3112	19443
69	3163	19431
70	3213	19419
71	3263	19400
72	3314	19387
73	3363	19361
74	3415	19353
75	3468	19348
76	3520	19339
77	3569	19310
78	3621	19299
79	3670	19271
80	3721	19252
81	3771	19224
82	3823	19208
83	3873	19183
84	3934	19207
85	3988	19201
86	4043	19194
87	4106	19225
88	4158	19204
89	4214	19198
90	4265	19172
91	4317	19146
92	4370	19127
93	4420	19091
94	4486	19127
95	4544	19124
96	4596	19096
97	4646	19060
98	4698	19031
99	4752	19009
100	4807	18990
101	4857	18953
102	4910	18927
103	4973	18936
104	5026	18909
105	5077	18874
106	5134	18858
107	5189	18837
108	5244	18814
109	5318	18854
110	5373	18831
111	5427	18800
112	5480	18770
113	5533	18737
114	5590	18715
115	5651	18706
116	5705	18676
117	5763	18659
118	5822	18640
119	5872	18595
120	5923	18552
121	5975	18513
122	6030	18483
123	6084	18451
124	6136	18408
125	6186	18363
126	6237	18320
127	6310	18338
128	6361	18295
129	6413	18254
130	6466	18213
131	6518	18174
132	6570	18129
133	6619	18081
134	6693	18097
135	6761	18097
136	6816	18062
137	6867	18013
138	6925	17986
139	6980	17950
140	7032	17904
141	7086	17865
142	7138	17820
143	7186	17767
144	7236	17717
145	7286	17666
146	7338	17622
147	7393	17583
148	7444	17537
149	7494	17486
150	7545	17440
151	7598	17395
152	7649	17348
153	7698	17296
154	7753	17258
155	7808	17219
156	7859	17170
157	7908	17117
158	7960	17071
159	8024	17053
160	8076	17005
161	8126	16955
162	8186	16924
163	8236	16874
164	8287	16825
165	8337	16775
166	8388	16726
167	8438	16676
168	8489	16627
169	8539	16576
170	8590	16527
171	8645	16487
172	8697	16439
173	8746	16387
174	8797	16338
175	8861	16312
176	8913	16266
177	8964	16217
178	9021	16178
179	9072	16128
180	9124	16080
181	9174	16029
182	9226	15982
183	9275	15930
184	9327	15882
185	9376	15828
186	9428	15782
187	9482	15737
188	9534	15688
189	9589	15645
190	9641	15598
191	9691	15546
192	9742	15496
193	9791	15444
194	9843	15395
195	9894	15347
196	9949	15303
197	9999	15251
198	10050	15202
199	10101	15151
200	10152	15102
201	10204	15054
202	10261	15012
203	10312	14963
204	10367	14919
205	10438	14897
206	10491	14849
207	10540	14796
208	10591	14747
209	10641	14694
210	10693	14647
211	10749	14602
212	10802	14555
213	10853	14504
214	10904	14455
215	10957	14406
216	11009	14357
217	11073	14325
218	11126	14276
219	11179	14228
220	11242	14193
221	11293	14142
222	11344	14091
223	11395	14040
224	11461	14008
225	11511	13956
226	11562	13905
227	11614	13855
228	11669	13809
229	11741	13783
230	11793	13733
231	11849	13687
232	11902	13639
233	11952	13586
234	12002	13534
235	12056	13487
236	12111	13440
237	12162	13388
238	12213	13337
239	12262	13284
240	12312	13232
241	12366	13184
242	12417	13132
243	12469	13082
244	12525	13037
245	12588	12998
246	12641	12949
247	12692	12896
248	12742	12844
249	12791	12791
250	12842	12739
251	12909	12704
252	12968	12661
253	13018	12608
254	13069	12556
255	13129	12514
256	13179	12461
257	13228	12407
258	13304	12379
259	13362	12334
260	13415	12284
261	13465	12231
262	13517	12180
263	13566	12127
264	13627	12084
265	13676	12031
266	13727	11979
267	13781	11930
268	13837	11882
269	13909	11848
270	13968	11803
271	14018	11750
272	14070	11699
273	14121	11647
274	14171	11594
275	14224	11544
276	14277	11494
277	14326	11440
278	14378	11389
279	14427	11336
280	14479	11284
281	14528	11231
282	14580	11179
283	14632	11128
284	14690	11082
285	14740	11029
286	14791	10977
287	14841	10924
288	14905	10882
289	14963	10835
290	15013	10782
291	15066	10731
292	15154	10706
293	15242	10680
294	15340	10660
295	15407	10619
296	15543	10623
297	15615	10585
298	15669	10533
299	15720	10480
300	15785	10436
301	15839	10384
302	15893	10333
303	15976	10300
304	16035	10252
305	16087	10199
306	16142	10148
307	16214	10107
308	16290	10069
309	16369	10032
310	16444	9993
311	16496	9940
312	16566	9897
313	16618	9843
314	16674	9792
315	16726	9739
316	16799	9697
317	16850	9644
318	16902	9590
319	16956	9538
320	17008	9484
321	17058	9429
322	17110	9376
323	17181	9333
324	17237	9281
325	17289	9228
326	17342	9175
327	17392	9120
328	17444	9066
329	17495	9012
330	17547	8959
331	17597	8904
332	17653	8853
333	17739	8816
334	17795	8765
335	17863	8719
336	17916	8665
337	17973	8614
338	18025	8560
339	18075	8505
340	18129	8453
341	18178	8398
342	18234	8346
343	18283	8291
344	18341	8240
345	18396	8188
346	18447	8133
347	18505	8082
348	18557	8029
349	18612	7976
350	18669	7925
351	18726	7873
352	18780	7820
353	18848	7773
354	18902	7720
355	18957	7668
356	19018	7618
357	19091	7572
358	19127	7512
359	19186	7461
360	19237	7407
361	19292	7354
362	19345	7301
363	19395	7246
364	19448	7193
365	19508	7142
366	19561	7088
367	19611	7034
368	19662	6980
369	19712	6925
370	19764	6872
371	19829	6822
372	19883	6770
373	19961	6724
374	20014	6671
375	20065	6617
376	20122	6565
377	20173	6510
378	20224	6456
379	20274	6402
380	20330	6349
381	20398	6301
382	20456	6248
383	20507	6194
384	20561	6141
385	20620	6089
386	20673	6036
387	20734	5985
388	20792	5932
389	20844	5879
390	20898	5825
391	20952	5772
392	21004	5718
393	21071	5668
394	21128	5616
395	21182	5563
396	21237	5509
397	21286	5455
398	21339	5401
399	21404	5351
400	21455	5297
401	21507	5243
402	21575	5193
403	21629	5139
404	21682	5085
405	21739	5033
406	21793	4979
407	21843	4925
408	21896	4871
409	21947	4817
410	21999	4763
411	22051	4710
412	22111	4657
413	22192	4610
414	22244	4556
415	22296	4502
416	22349	4448
417	22399	4394
418	22452	4340
419	22530	4291
420	22593	4239
421	22643	4185
422	22696	4131
423	22747	4077
424	22806	4024
425	22855	3970
426	22911	3917
427	22996	3868
428	23071	3818
429	23126	3764
430	23179	3710
431	23235	3657
432	23288	3603
433	23340	3549
434	23395	3495
435	23452	3442
436	23509	3389
437	23561	3335
438	23618	3281
439	23670	3227
440	23724	3173
441	23775	3119
442	23828	3065
443	23883	3012
444	23945	2959
445	24001	2905
446	24141	2862
447	24264	2816
448	24335	2764
449	24463	2718
450	24535	2665
451	24608	2613
452	24676	2560
453	24739	2506
454	24824	2455
455	24920	2404
456	25013	2353
457	25119	2303
458	25186	2249
459	25249	2195
460	25320	2142
461	25382	2087
462	25436	2032
463	25491	1977
464	25545	1922
465	25638	1870
466	25705	1816
467	25755	1761
468	25808	1705
469	25859	1650
470	25915	1595
471	25964	1540
472	26016	1485
473	26066	1429
474	26121	1374
475	26177	1319
476	26228	1264
477	26288	1209
478	26341	1154
479	26391	1099
480	26468	1045
481	26534	990
482	26601	936
483	26660	881
484	26711	826
485	26760	770
486	26811	715
487	26861	660
488	26917	605
489	26969	550
490	27025	495
491	27076	440
492	27130	385
493	27182	330
494	27232	275
495	27281	220
496	27334	164
497	27386	109
498	27445	55
499	27505	0
